scenario,policy,split,month,days,cash_cost,normal_cost,adjustment_cost,emergency_cost,emergency_kwh,surplus_kwh,gate_passes,gate_expected_net
q4_3,adaptive_rolling,audit,2025-09,30,1192310.7571902853,1015543.8300966162,19506.999959275614,157259.92713439354,24659.805803816696,171557.21190455602,31,16538.568389439693
q4_3,adaptive_rolling,audit,2025-10,31,1164281.5573493494,1080592.100793998,19760.830395396064,63928.62615995526,10090.837968159387,243488.42472426547,30,17926.807344119235
q4_3,adaptive_rolling,audit,2025-11,30,1309978.2160505997,1268397.4193003997,27530.11631301264,14050.680437187453,2373.941589318985,87485.83493698851,35,24475.107042174834
q4_3,adaptive_rolling,audit,2025-12,31,1908370.5577974364,1862417.3562485136,31516.449934593435,14436.751614329305,2148.3565478522714,154772.41861849718,34,28907.221283459134
q4_3,adaptive_rolling,development,2025-02,28,1263975.3790263894,1242875.444510471,3206.7830663346713,17893.151449583704,3231.352142365968,117353.36449417415,9,2958.8861123792108
q4_3,adaptive_rolling,development,2025-03,31,1199869.194966196,1048133.0832890248,21532.420591125716,130203.69108604564,21095.146256769247,173095.94418204718,32,14286.641989837708
q4_3,adaptive_rolling,development,2025-04,30,921327.8991537737,886707.0884828803,13281.58751005477,21339.223160838686,3406.605684829862,257456.79168147588,25,11420.654476536132
q4_3,adaptive_rolling,development,2025-05,31,955498.4881376097,877081.3162224162,24365.763182308878,54051.4087328846,8838.65272070217,240106.21912346658,27,18652.824234471653
q4_3,adaptive_rolling,development,2025-06,30,1490933.5160562745,1248937.6569289933,25659.68464454132,216336.17448273997,32279.267858673385,106429.82858189731,24,20876.259306335134
q4_3,static,audit,2025-07,31,1765915.8906746223,1725001.3727095153,0.0,40914.51796510693,9401.1315581194,344330.9870996208,0,0.0
q4_3,static,audit,2025-08,31,1416641.0898499293,1369342.0019031498,0.0,47299.087946779524,6144.707262110772,282848.3925720381,0,0.0
q4_3,static,audit,2025-09,30,1202638.1055619048,1037960.1450467199,0.0,164677.96051518497,26862.121918564728,183822.70731803478,0,0.0
q4_3,static,audit,2025-10,31,1222404.1099926368,1046505.2439333721,0.0,175898.8660592648,28504.558862045484,209284.05090077998,0,0.0
q4_3,static,audit,2025-11,30,1315579.1877102053,1273830.4639968928,0.0,41748.72371331246,7252.989099410538,79706.97358233057,0,0.0
q4_3,static,audit,2025-12,31,1925224.0943707637,1851755.4989687903,0.0,73468.59540197357,11783.884553424774,129820.9405096359,0,0.0
q4_3,static,development,2025-02,28,1265154.408451162,1250791.582610559,0.0,14362.825840603185,2558.8830239686586,126856.33526331605,0,0.0
q4_3,static,development,2025-03,31,1233600.6666239356,1037742.9939081174,0.0,195857.6727158181,32261.8255307934,153918.28364931684,0,0.0
q4_3,static,development,2025-04,30,911009.1469427322,880205.356865785,0.0,30803.790076947167,4973.70732764963,234526.32781129485,0,0.0
q4_3,static,development,2025-05,31,1003964.1429365255,868645.1289037901,0.0,135319.01403273543,22693.57404705827,230386.76786022133,0,0.0
q4_3,static,development,2025-06,30,1572035.2804798824,1246145.3905664943,0.0,325889.88991338806,49953.6412647973,105221.21056489609,0,0.0
