plan_day,q4_2,q4_3_A,q4_3_B,A_minus_q42_yuan,B_minus_A_yuan
2025-08-25,67805.04562593307,57319.58535097372,56983.76276891783,-10485.460274959347,-335.8225820558873
2025-08-26,51633.60021703109,54459.76098706643,54243.973046039704,2826.1607700353416,-215.7879410267269
2025-08-27,54642.24575864782,57460.26181072022,56752.43401375816,2818.016052072402,-707.8277969620613
2025-08-28,68372.71661326953,57477.41486403345,57396.29040815761,-10895.301749236074,-81.1244558758408
2025-08-29,24835.51203859338,24702.411056436285,24784.160790070375,-133.10098215709513,81.74973363408935
2025-08-30,24199.54247051973,24012.22787837841,24137.221600345638,-187.31459214131974,124.99372196722834
2025-08-31,51529.64935877379,51804.44553479238,51804.44553479238,274.79617601858627,0.0
2025-09-01,47400.05526234882,47391.83960349851,45079.97881330959,-8.215658850305772,-2311.860790188919
2025-09-02,44439.42182016046,44376.28949610247,44194.66437930306,-63.13232405798772,-181.62511679941235
2025-09-03,47479.62937241121,47402.549742472685,46696.462107920655,-77.07962993852561,-706.0876345520301
2025-09-04,47462.6903891869,47407.028272486445,46150.78595691215,-55.662116700455954,-1256.2423155742945
2025-09-05,19195.783211232432,19161.049858088834,18517.68298738889,-34.733353143597924,-643.3668706999451
2025-09-06,18514.562363963374,18490.138089466134,17690.879520583185,-24.42427449723982,-799.2585688829495
2025-09-07,43538.32174862439,44180.405261959175,43532.10377608733,642.0835133347864,-648.3014858718452
2025-09-08,45419.62648265499,44775.51409207653,46295.25766806605,-644.1123905784552,1519.743575989516
2025-09-09,44442.77649418348,43679.98498767623,43397.09736246259,-762.791506507252,-282.8876252136397
2025-09-10,47440.78203535685,47697.581243061075,47841.9284238609,256.79920770422177,144.3471807998285
2025-09-11,43781.569281628785,42975.845490345586,42404.33605139918,-805.7237912831988,-571.5094389464066
2025-09-12,16431.409875648595,17103.667589506284,17214.60481226056,672.2577138576889,110.93722275427717
2025-09-13,16456.60344605162,17254.927869833497,17184.41834408252,798.3244237818762,-70.50952575097472
2025-09-14,41335.55253906139,43159.03303388876,43159.03303388876,1823.4804948273668,0.0
2025-09-15,40158.76184067481,39721.082220022705,39679.99927757204,-437.67962065210304,-41.08294245066645
2025-09-16,40978.628642558004,45717.99730410039,44921.159094026945,4739.368661542387,-796.8382100734452
2025-09-17,54522.236566295025,44865.97486889442,44735.29025766057,-9656.261697400609,-130.68461123384623
2025-09-18,41462.060601406425,44043.12647209343,43535.77747336709,2581.0658706870017,-507.3489987263383
2025-09-19,18582.510048767224,17362.393214934058,17362.393214934054,-1220.1168338331663,-3.637978807091713e-12
2025-09-20,17847.609291516863,16756.603666873885,16756.075937985668,-1091.0056246429776,-0.5277288882170978
2025-09-21,43489.084883633244,43558.96252143271,42744.97631235022,69.87763779946545,-813.98620908249
2025-09-22,44750.230448073875,45052.835853910576,45052.835853910576,302.6054058367008,0.0
2025-09-23,50939.900272417624,45071.55335564988,44996.97089093211,-5868.346916767747,-74.5824647177651
2025-09-24,45235.065900659494,45251.41911547786,45514.17850738144,16.353214818365814,262.75939190357894
2025-09-25,44866.33830552122,45876.91553007404,45218.59689162442,1010.5772245528206,-658.3186384496221
2025-09-26,16671.86464193162,16644.954536758058,16657.270829332178,-26.910105173563352,12.31629257411987
2025-09-27,17757.23967231777,16940.406311147188,16940.406311147188,-816.8333611705821,0.0
2025-09-28,44797.94207711567,47797.08099991164,47776.30031624711,2999.138922795966,-20.780683664532262
2025-09-29,45534.736208418515,46321.08284203067,46491.04797386776,786.3466336121564,169.96513183708885
2025-09-30,51578.7660223241,47855.96137299156,47583.155932885755,-3722.8046493325382,-272.8054401058034
2025-10-01,43783.02755846317,43585.63725775739,42107.05524151525,-197.39030070577428,-1478.5820162421442
2025-10-02,42786.88549203839,42762.03625088612,41467.63467875853,-24.849241152267496,-1294.4015721275937
2025-10-03,14649.957591848683,14638.927219937683,14495.41643931867,-11.030371910999747,-143.51078061901353
